start_time,date,banding_site,location_type,site_lat,site_long,transmitter_id,band_prefix,band_suffix,age,sex,head_mm,culmen_mm,wing_mm,tarsus_mm,mass_g,banders,molt,ducklings,nest,capture_method,date_baited,mallard_domestic_features_present,feather_sample_id,blood_sample_id,comments,release_time
07:09:00,2022-08-26,Grand River Marsh Wildlife Area,rural,43.722171,-89.254205,220162,2257,55230,HY,F,107.5,51.2,265,53.1,800,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55230,WI-230,NA,07:34:00
06:55:00,2022-08-26,Grand River Marsh Wildlife Area,rural,43.722173,-89.254189,220503,2257,55229,HY,F,109,52,254,55.1,920,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55229,WI-229,NA,07:27:00
06:56:00,2022-08-19,Grand River Marsh Wildlife Area,rural,43.722213000000004,-89.253977,212974,2257,55228,HY,F,107.2,50.5,257,52.3,930,"Alissa Kakatsch, Allicyn Nelson, Taylor Finger",flighted,no,no,cannon net,NA,yes,WI-2257-55228,WI-228,NA,07:30:00
06:47:00,2022-08-19,Grand River Marsh Wildlife Area,rural,43.722213000000004,-89.253977,220171,2257,55227,HY,F,107.9,53.1,261,55,935,"Taylor Finger, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,yes,WI-2257-55227,WI-227,NA,07:15:00
06:39:00,2022-08-19,Grand River Marsh Wildlife Area,rural,43.722219,-89.253976,220179,2257,55226,HY,F,109.8,54.7,265,55.2,990,"Taylor Finger, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,yes,WI-2257-55226,WI-226,NA,07:10:00
09:17:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220487,2257,55225,HY,F,106.8,48,268,51.9,1100,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55225,WI-225,NA,09:32:00
09:04:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220161,2257,55224,AHY,F,106.8,52.9,260,53.6,1060,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55224,WI-224,NA,09:49:00
08:53:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220489,2257,55223,AHY,F,109.6,56.6,258,55.6,1100,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55223,WI-223,NA,09:35:00
08:41:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220173,2257,55222,HY,F,100.7,48.8,266,53,960,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55222,WI-222,NA,09:54:00
08:29:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220495,2257,55221,HY,F,108.8,52.1,270,53.2,900,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55221,WI-221,NA,09:44:00
08:19:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220480,2257,55220,HY,F,108.5,54.2,279,54.3,1260,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55220,WI-220,photos accidentally overwritten and not re-taken,09:47:00
08:03:00,2022-08-16,Grand River Marsh Wildlife Area,rural,43.722103,-89.254151,220160,2257,55219,AHY,F,111.1,56.6,269,55.5,1080,"Jay Winiarski, Allicyn Nelson, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55219,WI-219,NA,09:40:00
07:21:00,2022-08-11,Collins Marsh Wildlife Area,rural,44.098234,-87.966048,220496,2257,55218,HY,F,107.1,52.1,270,53.9,900,"Jay Winiarski, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55218,WI-218,NA,07:41:00
07:08:00,2022-08-11,Collins Marsh Wildlife Area,rural,44.098234,-87.966048,220484,2257,55217,AHY,F,109.8,53.2,270,54.3,1040,"Jay Winiarski, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55217,WI-217,NA,07:54:00
06:51:00,2022-08-11,Collins Marsh Wildlife Area,rural,44.098234,-87.966048,220492,2257,55216,AHY,F,109.9,51.9,268,55.9,1140,"Jay Winiarski, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55216,WI-216,NA,07:45:00
06:37:00,2022-08-11,Collins Marsh Wildlife Area,rural,44.098234,-87.966048,220498,2257,55215,HY,F,109.9,54.8,279,55,1020,"Jay Winiarski, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55215,WI-215,NA,07:50:00
06:31:00,2022-08-11,Collins Marsh Wildlife Area,rural,44.09822,-87.966002,NA,2257,55214,AHY,F,NA,NA,NA,NA,1180,"Jay Winiarski, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,NA,NA,Escaped,06:34:00
07:27:00,2022-08-10,Sandhill Wildlife Area,rural,44.350268,-90.195779,220499,2257,55213,AHY,F,111.4,51.6,279,56.3,1270,Taylor Finger,flighted,no,no,cannon net,NA,no,WI-2257-55213,WI-213,NA,07:50:00
07:14:00,2022-08-10,Sandhill Wildlife Area,rural,44.350256,-90.195787,220485,2257,55212,AHY,F,107.6,50,254,54.5,950,Taylor Finger,flighted,no,no,cannon net,NA,no,WI-2257-55212,WI-212,NA,07:59:00
06:58:00,2022-08-10,Sandhill Wildlife Area,rural,44.350266,-90.195791,220154,2257,55211,AHY,F,111.8,51.4,284,55,1280,Taylor Finger,flighted,no,no,cannon net,NA,no,WI-2257-55211,WI-211,NA,07:54:00
06:46:00,2022-08-10,Sandhill Wildlife Area,rural,44.350256,-90.195782,220157,2257,55210,HY,F,98.9,45.5,261,51.2,880,Taylor Finger,flighted,no,no,cannon net,NA,no,WI-2257-55210,WI-210,NA,07:44:00
06:56:00,2022-08-09,Mead Wildlife Area,rural,44.688946,-89.915993,220150,2257,55244,HY,F,108,53.3,263,53.7,900,"Jay Winiarski, Allicyn Nelson",flighted,no,no,cannon net,NA,no,WI-2257-55244,WI-244,NA,07:13:00
06:57:00,2022-08-09,Mead Wildlife Area,rural,44.350268,-90.195779,220147,2257,55209,HY,F,108.5,54.2,274,55.1,1095,"Taylor Finger, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55209,WI-209,NA,07:36:00
06:48:00,2022-08-09,Mead Wildlife Area,rural,44.688946,-89.915993,220166,2257,55208,AHY,F,107.1,54.2,271,55.4,1085,"Taylor Finger, Alissa Kakatsch",flighted,no,no,cannon net,NA,no,WI-2257-55208,WI-208,NA,07:21:00
06:43:00,2022-08-09,Mead Wildlife Area,rural,44.688946,-89.915993,220477,2257,55243,HY,F,108.7,54.6,270,51.1,1020,"Jay Winiarski, Allicyn Nelson",flighted,no,no,cannon net,NA,no,WI-2257-55243,WI-243,NA,07:20:00
